kind;class;element;ChangingClasses;ChangingMethods;CouplingDispersion;CouplingIntensity;CyclomaticComplexity;MaxCallChain;MaxNesting;MethodLinesOfCode;NumberOfAccessedVariables;ParameterCount;smells_count;smells
public method;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean.getAlunos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean.setAlunos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean.getTipoBusca;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean;br.ufal.academico.web.session.aluno.ConsultarAlunoInglesSemFronteirasBean.setTipoBusca;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,MessageChain,FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getCopiaDocumento;1,0;1,0;0,235294117647;17,0;2,0;3,0;1,0;13,0;4,0;1,0;1;FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.trataDadosDocumentos;1,0;3,0;0,625;8,0;13,0;3,0;2,0;29,0;7,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getAluno;1,0;3,0;1,0;2,0;3,0;2,0;1,0;4,0;2,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getEndereco;1,0;3,0;1,0;2,0;3,0;2,0;1,0;4,0;2,0;1,0;2;FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getDocumento;1,0;1,0;1,0;2,0;3,0;2,0;2,0;5,0;3,0;1,0;2;FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.editar;0,0;0,0;0,214285714286;84,0;4,0;4,0;1,0;70,0;32,0;0,0;5;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.atualizarDadosCadastrais;0,0;0,0;0,20987654321;81,0;4,0;3,0;1,0;66,0;29,0;0,0;7;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.editarPublico;0,0;0,0;0,186440677966;59,0;4,0;3,0;1,0;51,0;16,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.verificaPermissao;0,0;0,0;0,833333333333;6,0;3,0;3,0;2,0;6,0;5,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.listarCidades;1,0;2,0;0,666666666667;6,0;2,0;3,0;1,0;5,0;5,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.listarRegioes;0,0;0,0;1,0;1,0;1,0;1,0;0,0;5,0;6,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.listarEstadosPais;0,0;0,0;0,8;5,0;4,0;2,0;2,0;18,0;10,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.listarEstados;0,0;0,0;1,0;1,0;1,0;1,0;0,0;3,0;4,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.listarCidadesPorSiglaUf;1,0;1,0;1,0;3,0;1,0;3,0;0,0;2,0;2,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.listarCidadesConclusaoEnsinoMedioPorSiglaUf;1,0;1,0;1,0;2,0;3,0;2,0;1,0;4,0;3,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.limpar;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;9;LongMethod,MessageChain,FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.carregaCidadesEndereco;1,0;1,0;1,0;2,0;3,0;3,0;1,0;4,0;2,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.carregarNaturalidade;1,0;1,0;1,0;6,0;8,0;2,0;3,0;12,0;5,0;0,0;9;LongMethod,MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.consultarPorId;0,0;0,0;0,4;25,0;14,0;2,0;2,0;56,0;28,0;0,0;12;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.carregaCidadesConclusaoEnsinoMedio;1,0;1,0;1,0;2,0;3,0;3,0;1,0;4,0;2,0;0,0;12;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.inserirCidade;0,0;0,0;0,714285714286;7,0;2,0;2,0;1,0;9,0;5,0;0,0;12;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.iniciarAtributos;1,0;2,0;0,333333333333;12,0;11,0;2,0;1,0;35,0;21,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setAluno;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getUfs;0,0;0,0;1,0;1,0;2,0;1,0;1,0;4,0;2,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getAluno;0,0;0,0;1,0;1,0;1,0;1,0;0,0;3,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setId;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getId;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getCidades;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setCidades;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getUfNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setUfNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getCpf;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setCpf;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getRg;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setRg;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getTituloEleitor;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setTituloEleitor;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getEndereco;1,0;1,0;1,0;1,0;1,0;1,0;0,0;3,0;2,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setEndereco;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getTiposLogradouro;0,0;0,0;1,0;1,0;2,0;1,0;1,0;4,0;2,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setTiposLogradouro;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getPaises;0,0;0,0;1,0;1,0;2,0;1,0;1,0;6,0;3,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setPaises;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getCidadesEndereco;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setCidadesEndereco;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getNacionalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setNacionalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getEtnia;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setEtnia;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getDeficiencia;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setDeficiencia;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getErro;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setErro;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getRegioes;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setRegioes;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getPaisNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setPaisNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getRegiaoNaturalidade;0,0;0,0;0,0;0,0;2,0;0,0;1,0;4,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setRegiaoNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getUfsNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setUfsNaturalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getTiposEscolas;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setTiposEscolas;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getTipoEscola;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setTipoEscola;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setCidadesConclusaoEnsinoMedio;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getCidadesConclusaoEnsinoMedio;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.setPassaporte;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoAlunoBean;br.ufal.academico.web.session.aluno.EdicaoAlunoBean.getPassaporte;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;14;LongMethod,MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.carregarQuestionario;0,0;0,0;0,1875;16,0;16,0;2,0;1,0;31,0;16,0;0,0;2;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.salvarDados;0,0;0,0;0,52;25,0;2,0;3,0;1,0;20,0;28,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getTiposProcessoSeletivo;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getIsencoesTaxa;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getNiveisInstrucao;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getOcupacoes;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getRendasMensal;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getExerciciosAtividadeRemunerada;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getParticipacoesEconomicaFamilia;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getLocaisResidencia;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getCondicoesResidencia;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getMeiosTransporte;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getDominios;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getCursosLinguas;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getTipoProcessoSeletivo;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.setTipoProcessoSeletivo;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getIsencaoTaxa;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.setIsencaoTaxa;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getNivelInstrucaoPai;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.setNivelInstrucaoPai;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getNivelInstrucaoMae;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.setNivelInstrucaoMae;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.getOcupacaoPai;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;3;LongMethod,FeatureEnvy
public method;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean;br.ufal.academico.web.session.aluno.EdicaoQuestionarioAlunoBean.setOcupacaoPai;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;3;LongMethod,FeatureEnvy
