kind;element;ClassLinesOfCode;IsAbstract;LCOM2;LCOM3;NumberOfAccessorMethods;OverrideRatio;PublicFieldCount;TightClassCohesion;WeighOfClass;WeightedMethodCount;smells_count;smells
public class;br.com.meyer.repository.UserRepository;105,0;0,0;0,0;0,0;1,0;None;0,0;0,0;0,95;31,0;6;MessageChain,FeatureEnvy
public class;br.com.meyer.services.ClientService;59,0;0,0;0,5;0,538461538462;0,0;None;0,0;1,0;1,0;15,0;2;FeatureEnvy,LongParameterList
public class;br.com.meyer.services.ContractService;141,0;0,0;0,623188405797;0,651515151515;2,0;None;0,0;0,909090909091;0,909090909091;31,0;17;MessageChain,FeatureEnvy,LongParameterList,DispersedCoupling
public class;br.com.meyer.services.DeviceService;345,0;0,0;0,657142857143;0,673992673993;1,0;None;0,0;0,903846153846;0,975;96,0;41;LongParameterList,DispersedCoupling,LongMethod,IntensiveCoupling,ComplexClass,FeatureEnvy,SpaghettiCode,MessageChain
public class;br.com.meyer.services.ModelService;63,0;0,0;0,411764705882;0,4375;0,0;None;0,0;0,882352941176;1,0;20,0;1;LongParameterList
public class;br.com.meyer.services.UserService;86,0;0,0;0,7375;0,776315789474;0,0;None;0,0;0,815789473684;1,0;30,0;2;FeatureEnvy,LongParameterList
public class;br.com.meyer.util.CPF;21,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;6,0;0;
public class;br.com.meyer.util.JsonMapperObject;41,0;0,0;0,0;0,0;1,0;None;0,0;1,0;0,875;13,0;1;MessageChain
public class;br.com.meyer.util.MailNotifier;22,0;0,0;0,333333333333;0,5;0,0;None;0,0;0,0;1,0;5,0;0;
public class;br.com.meyer.util.Merger;20,0;0,0;0,0;0,0;0,0;None;0,0;1,0;1,0;8,0;0;
public class;br.com.meyer.util.ModelUtils;158,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;44,0;2;ComplexClass,LongMethod
public class;br.com.meyer.util.mongo.MeyerCollections;21,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;10,0;0;
public class;br.com.meyer.util.QueryBuilder;74,0;0,0;0,52380952381;0,55;7,0;None;0,0;0,961904761905;0,666666666667;22,0;1;MessageChain
public class;br.com.meyer.util.RefactorDB;13,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;4,0;0;
public class;br.com.meyer.util.security.SecurityUtils;5,0;0,0;0,0;0,0;0,0;None;0,0;1,0;1,0;1,0;0;
public class;br.com.meyer.util.StringUtils;20,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;12,0;0;
public class;br.com.meyer.util.token.NimbusDSTokenProvider;35,0;0,0;0,166666666667;0,333333333333;0,0;None;0,0;1,0;1,0;6,0;0;
public class;br.com.meyer.util.token.NoOpTokenProvider;7,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;2,0;0;
public class;br.com.meyer.util.token.TokenAuthentication;12,0;0,0;0,666666666667;1,0;0,0;None;0,0;1,0;1,0;3,0;0;
public interface;br.com.meyer.util.token.TokenProvider;3,0;0,0;0,0;0,0;0,0;None;0,0;1,0;0,0;2,0;0;
public class;br.com.meyer.util.UtilConstants;55,0;0,0;0,0;0,0;0,0;None;0,0;1,0;0,0;0,0;0;
public class;br.com.meyer.util.Utils;9,0;0,0;0,0;0,0;0,0;None;0,0;0,0;1,0;4,0;0;
public class;br.com.meyer.AppTest;3,0;0,0;0,8;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1;RefusedBequest
public class;br.com.meyer.BaseTest;5,0;0,0;0,0;0,0;0,0;0,5;2,0;1,0;0,0;0,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.controller.ClientControllerTest;139,0;0,0;0,6875;0,733333333333;0,0;1,0;0,0;0,875;1,0;32,0;17;MessageChain,RefusedBequest
public class;br.com.meyer.controller.ContractControllerTest;226,0;0,0;0,725961538462;0,755;0,0;1,0;0,0;1,0;1,0;52,0;27;MessageChain,RefusedBequest
public class;br.com.meyer.controller.DeviceControllerExternalTest;58,0;0,0;0,896103896104;0,985714285714;1,0;1,0;1,0;0,109090909091;0,909090909091;17,0;6;MessageChain,ClassDataShouldBePrivate,RefusedBequest
public class;br.com.meyer.controller.DeviceControllerTest;400,0;0,0;0,785123966942;0,803382663848;0,0;1,0;0,0;1,0;1,0;82,0;46;MessageChain,FeatureEnvy,RefusedBequest
public class;br.com.meyer.controller.LoginControllerTest;8,0;0,0;0,8;1,6;0,0;1,0;0,0;0,0;1,0;2,0;1;RefusedBequest
public class;br.com.meyer.controller.ModelControllerTest;123,0;0,0;0,666666666667;0,714285714286;0,0;1,0;0,0;1,0;1,0;29,0;16;MessageChain,RefusedBequest
public class;br.com.meyer.controller.UserControllerTest;129,0;0,0;0,683673469388;0,736263736264;0,0;1,0;0,0;0,857142857143;1,0;27,0;15;MessageChain,RefusedBequest
public class;br.com.meyer.repository.AbstractRepositoryTest;11,0;0,0;0,666666666667;0,0;1,0;None;2,0;1,0;0,0;1,0;1;ClassDataShouldBePrivate
public class;br.com.meyer.repository.ClientRepositoryTest;90,0;0,0;0,808823529412;0,859375;0,0;0,5;0,0;0,573529411765;1,0;17,0;6;MessageChain
public class;br.com.meyer.repository.ContractRepositoryTest;177,0;0,0;0,869565217391;0,909090909091;0,0;0,5;0,0;0,577075098814;1,0;23,0;13;MessageChain,FeatureEnvy
public class;br.com.meyer.repository.DeviceRepositoryExternalTest;28,0;0,0;0,9;1,8;1,0;1,0;2,0;0,0;0,5;8,0;2;ClassDataShouldBePrivate,RefusedBequest
public class;br.com.meyer.repository.DeviceRepositoryTest;300,0;0,0;0,842377260982;0,862433862434;0,0;0,5;0,0;0,665559246955;1,0;43,0;15;MessageChain,FeatureEnvy
public class;br.com.meyer.repository.ModelRepositoryTest;79,0;0,0;0,75;0,8;0,0;0,5;0,0;0,908333333333;1,0;17,0;2;MessageChain
public class;br.com.meyer.repository.UserRepositoryTest;108,0;0,0;0,7625;0,813333333333;0,0;0,5;0,0;0,816666666667;1,0;17,0;2;MessageChain,FeatureEnvy
