project;repo_file_path_reduced;refs_count
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FieldMaskingSpanQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FieldMaskingSpanQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FilteredQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FilteredQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FQueryFilterParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/FuzzyQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoBoundingBoxQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoDistanceQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoDistanceRangeQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoShapeQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/HasChildQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/HasChildQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/HasParentQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/IdsQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/IdsQueryParser.java;51
