project;repo_file_path_reduced;refs_count
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/lang/AnsiSignaturesTest.java;2
apache_tomcat;org/apache/catalina/connector/InputBuffer.java;1
apache_derby;engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java;3
apache_derby;client/org/apache/derby/client/net/EbcdicCcsidManager.java;5
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/jdbc4/VerifySignatures.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/util/XATestUtil.java;1
apache_tomcat;org/apache/catalina/startup/CatalinaProperties.java;1
apache_tomcat;org/apache/catalina/core/JreMemoryLeakPreventionListener.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/harness/Sed.java;1
apache_tomcat;org/apache/tomcat/util/net/SecureNio2Channel.java;3
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/jdbcapi/SURTest.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/jdbc4/PreparedStatementTest.java;7
apache_tomcat;org/apache/tomcat/dbcp/pool2/impl/BaseGenericObjectPool.java;1
apache_derby;engine/org/apache/derby/impl/jdbc/EmbedConnection20.java;1
apache_derby;engine/org/apache/derby/impl/sql/compile/CastNode.java;1
apache_derby;drda/org/apache/derby/impl/drda/DRDAXAProtocol.java;1
apache_tomcat;org/apache/tomcat/util/modeler/ParameterInfo.java;3
apache_tomcat;org/apache/el/parser/AstBracketSuffix.java;1
apache_derby;engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement20.java;4
apache_tomcat;org/apache/jasper/compiler/ScriptingVariabler.java;1
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/junitTests/compatibility/CompatibilitySuite.java;19
apache_tomcat;org/apache/catalina/tribes/transport/WorkerThread.java;1
apache_tomcat;org/apache/naming/resources/BaseDirContext.java;4
apache_derby;testing/org/apache/derbyTesting/functionTests/tests/lang/NativeAuthenticationServiceTest.java;8
apache_derby;engine/org/apache/derby/impl/sql/execute/BaseActivation.java;3
apache_tomcat;org/apache/catalina/webresources/JarResourceSet.java;2
apache_derby;engine/org/apache/derby/iapi/sql/dictionary/SequenceDescriptor.java;1
apache_derby;engine/org/apache/derby/impl/sql/compile/MethodCallNode.java;3
